,pearson_r,abs_r
scroll_depth_percent,-0.08518535643393432,0.08518535643393432
page_authority,-0.06764352944552131,0.06764352944552131
domain_authority,-0.0657386318201012,0.0657386318201012
serp_position_before,0.05738979453574224,0.05738979453574224
avg_time_on_page_sec,0.05323932491924449,0.05323932491924449
num_external_links,-0.04545465217244578,0.04545465217244578
has_alt_text,-0.03228719705510482,0.03228719705510482
has_meta_description,0.028873590632955522,0.028873590632955522
bounce_rate,-0.0156672614386993,0.0156672614386993
keyword_density,-0.010772461167155373,0.010772461167155373
num_internal_links,-0.007464168332789475,0.007464168332789475
backlink_count,-0.006544539123938127,0.006544539123938127
content_length,-0.0026072977685228306,0.0026072977685228306
